"","Location","dt","Avg.Tem","Avg.Vol"
"1","Bulgaria",1753-01-01,-1.841,5.762
"2","Bulgaria",1753-02-01,-0.883,3.19
"3","Bulgaria",1753-03-01,5.889,3.083
"4","Bulgaria",1753-04-01,10.043,5.357
"5","Bulgaria",1753-05-01,15.723,2.537
"6","Bulgaria",1753-06-01,20.69,2.637
"7","Bulgaria",1753-07-01,22.084,2.44
"8","Bulgaria",1753-08-01,20.446,5.225
"9","Bulgaria",1753-09-01,17.03,2.329
"10","Bulgaria",1753-10-01,11.668,2.388
"11","Bulgaria",1753-11-01,5.201,2.948
"12","Bulgaria",1753-12-01,-1.256,3.204
"13","Bulgaria",1754-01-01,-1.979,3.045
"14","Bulgaria",1754-02-01,-2.904,4.256
"15","Bulgaria",1754-03-01,3.12,3.443
"16","Bulgaria",1754-04-01,12.053,5.754
"17","Bulgaria",1754-05-01,15.81,3.349
"18","Bulgaria",1754-06-01,20.266,2.303
"19","Bulgaria",1754-07-01,21.224,2.807
"20","Bulgaria",1754-08-01,20.404,3.902
"21","Bulgaria",1754-09-01,16.195,3.16
"22","Bulgaria",1754-10-01,12.49,2.63
"23","Bulgaria",1754-11-01,6.751,2.373
"24","Bulgaria",1754-12-01,2.051,2.73
"25","Bulgaria",1755-01-01,-4.134,4.708
"26","Bulgaria",1755-02-01,-2.911,4.214
"27","Bulgaria",1755-03-01,4.314,3.966
"28","Bulgaria",1755-04-01,12.012,3.833
"29","Bulgaria",1755-05-01,16.312,3.065
"30","Bulgaria",1755-06-01,21.658,3.594
"31","Bulgaria",1755-07-01,21.551,2.507
"32","Bulgaria",1755-08-01,19.896,3.057
"33","Bulgaria",1755-09-01,16.462,2.278
"34","Bulgaria",1755-10-01,10.9,5.806
"35","Bulgaria",1755-11-01,6.08,5.6
"36","Bulgaria",1755-12-01,0.79,6.18
"37","Bulgaria",1756-01-01,1.043,4.081
"38","Bulgaria",1756-02-01,3.758,3.778
"39","Bulgaria",1756-03-01,5.15,5.643
"40","Bulgaria",1756-04-01,11.096,2.647
"41","Bulgaria",1756-05-01,16.687,4.634
"42","Bulgaria",1756-06-01,21.149,3.362
"43","Bulgaria",1756-07-01,21.48,2.653
"44","Bulgaria",1756-08-01,19.967,6.879
"45","Bulgaria",1756-09-01,17.768,3.106
"46","Bulgaria",1756-10-01,10.327,3.009
"47","Bulgaria",1756-11-01,4.141,3.557
"48","Bulgaria",1756-12-01,-0.419,2.706
"49","Bulgaria",1757-01-01,-3.128,2.768
"50","Bulgaria",1757-02-01,2.178,3.886
"51","Bulgaria",1757-03-01,5.124,3.598
"52","Bulgaria",1757-04-01,10.263,5.012
"53","Bulgaria",1757-05-01,16.471,3.585
"54","Bulgaria",1757-06-01,22.765,3.735
"55","Bulgaria",1757-07-01,24.887,5.22
"56","Bulgaria",1757-08-01,21.751,3.633
"57","Bulgaria",1757-09-01,17.563,6.111
"58","Bulgaria",1757-10-01,8.224,8.019
"59","Bulgaria",1757-11-01,4.562,3.855
"60","Bulgaria",1757-12-01,-1.542,8.031
"61","Bulgaria",1758-01-01,-5.087,2.546
"62","Bulgaria",1758-02-01,-0.518,3.098
"63","Bulgaria",1758-03-01,4.311,3.982
"64","Bulgaria",1758-04-01,8.8,6.488
"65","Bulgaria",1758-05-01,14.064,4.598
"66","Bulgaria",1758-06-01,19.551,4.419
"67","Bulgaria",1758-07-01,20.511,6.131
"68","Bulgaria",1758-08-01,19.108,5.25
"69","Bulgaria",1758-09-01,14.622,3.111
"70","Bulgaria",1758-10-01,7.538,8.795
"71","Bulgaria",1758-11-01,6.183,6.38
"72","Bulgaria",1758-12-01,1.306,4.93
"73","Bulgaria",1759-01-01,1.744,5.196
"74","Bulgaria",1759-02-01,2.032,6.227
"75","Bulgaria",1759-03-01,4.799,3.323
"76","Bulgaria",1759-04-01,8.241,4.959
"77","Bulgaria",1759-05-01,14.019,3.191
"78","Bulgaria",1759-06-01,19.604,4.73
"79","Bulgaria",1759-07-01,20.939,4.026
"80","Bulgaria",1759-08-01,21.516,5.436
"81","Bulgaria",1759-09-01,17.563,5.058
"82","Bulgaria",1759-10-01,11.342,3.991
"83","Bulgaria",1759-11-01,3.488,4.935
"84","Bulgaria",1759-12-01,-2.402,6.432
"85","Bulgaria",1760-01-01,-2.821,3.839
"86","Bulgaria",1760-02-01,-0.27,2.784
"87","Bulgaria",1760-03-01,2.305,7.297
"88","Bulgaria",1760-04-01,9.716,4.951
"89","Bulgaria",1760-05-01,14.569,3.614
"90","Bulgaria",1760-06-01,18.203,2.917
"91","Bulgaria",1760-07-01,20.49,3.608
"92","Bulgaria",1760-08-01,20.899,5.999
"93","Bulgaria",1760-09-01,17.193,4.353
"94","Bulgaria",1760-10-01,10.638,4.258
"95","Bulgaria",1760-11-01,5.334,3.044
"96","Bulgaria",1760-12-01,1.398,3.171
"97","Bulgaria",1761-01-01,-2.404,5.127
"98","Bulgaria",1761-02-01,1.483,3.544
"99","Bulgaria",1761-03-01,6.421,2.45
